driver_name,driver_avg_points,driver_avg_grid,nationality_encoded
Adrian Sutil,1.5569620253164558,13.240506329113924,13
Alexander Albon,2.7045454545454546,11.159090909090908,26
Alexander Rossi,0.0,17.8,0
Anthony Davidson,0.0,21.0,6
Antonio Giovinazzi,0.375,14.339285714285714,16
Brendon Hartley,0.23529411764705882,15.588235294117647,20
Bruno Senna,0.9428571428571428,15.885714285714286,5
Carlos Sainz,7.079411764705882,8.176470588235293,23
Charles Leclerc,10.817460317460318,6.2063492063492065,19
Charles Pic,0.0,20.833333333333332,12
Christian Klien,0.0,23.5,3
Daniel Ricciardo,6.055045871559633,9.926605504587156,2
Daniil Kvyat,2.2444444444444445,12.28888888888889,22
David Coulthard,0.6153846153846154,13.23076923076923,6
Esteban Gutiérrez,0.13043478260869565,15.326086956521738,18
Esteban Ocon,3.3333333333333335,11.196969696969697,12
Felipe Massa,6.0375,7.64375,5
Felipe Nasr,0.8787878787878788,16.12121212121212,5
Fernando Alonso,7.2976190476190474,8.666666666666666,23
Franco Colapinto,0.8333333333333334,11.5,1
George Russell,5.981981981981982,9.684684684684685,6
Giancarlo Fisichella,0.2962962962962963,17.037037037037038,16
Giedo van der Garde,0.0,19.25,10
Guanyu Zhou,0.27586206896551724,14.879310344827585,8
Heikki Kovalainen,1.0,14.16,11
Jack Aitken,0.0,17.0,6
Jack Doohan,0.0,17.0,2
Jaime Alguersuari,0.8611111111111112,15.333333333333334,23
Jarno Trulli,1.1981132075471699,13.415094339622641,16
Jean-Éric Vergne,1.1333333333333333,14.066666666666666,12
Jenson Button,6.843537414965986,9.170068027210885,6
Jolyon Palmer,0.34615384615384615,15.923076923076923,6
Jules Bianchi,0.07142857142857142,18.714285714285715,12
Jérôme d'Ambrosio,0.0,21.529411764705884,4
Kamui Kobayashi,2.358490566037736,14.037735849056604,17
Karun Chandhok,0.0,22.77777777777778,14
Kazuki Nakajima,0.3103448275862069,13.931034482758621,17
Kevin Magnussen,1.264516129032258,12.535483870967742,9
Kimi Räikkönen,7.014851485148514,7.851485148514851,11
Lance Stroll,2.0,13.321678321678322,7
Lando Norris,7.983193277310924,7.067226890756302,6
Lewis Hamilton,15.198387096774194,4.370967741935484,6
Liam Lawson,0.5454545454545454,13.454545454545455,20
Logan Sargeant,0.034482758620689655,17.137931034482758,0
Luca Badoer,0.0,20.0,16
Lucas di Grassi,0.0,22.0,5
Marcus Ericsson,0.24324324324324326,16.945945945945947,24
Mark Webber,9.782828282828282,5.2727272727272725,2
Max Chilton,0.0,20.15625,6
Max Verstappen,16.27094972067039,4.893854748603352,10
Michael Schumacher,4.4772727272727275,10.5,13
Mick Schumacher,0.3157894736842105,15.973684210526315,13
Narain Karthikeyan,0.0,22.842105263157894,14
Nelson Piquet Jr.,1.1176470588235294,13.823529411764707,5
Nicholas Latifi,0.17647058823529413,16.92156862745098,7
Nick Heidfeld,2.6444444444444444,10.977777777777778,13
Nico Hülkenberg,2.99468085106383,10.212765957446809,13
Nico Rosberg,10.198051948051948,5.909090909090909,13
Nikita Mazepin,0.0,18.4375,22
Nyck de Vries,0.2,13.6,10
Oliver Bearman,2.3333333333333335,12.0,6
Oscar Piastri,8.069767441860465,7.186046511627907,2
Pascal Wehrlein,0.1935483870967742,17.64516129032258,13
Pastor Maldonado,1.1343283582089552,14.223880597014926,27
Paul di Resta,2.326923076923077,11.98076923076923,6
Pedro de la Rosa,0.2608695652173913,19.73913043478261,23
Pierre Gasly,3.1791044776119404,10.753731343283581,12
Pietro Fittipaldi,0.0,18.5,5
Rio Haryanto,0.0,19.555555555555557,15
Robert Kubica,3.417910447761194,10.223880597014926,21
Roberto Merhi,0.0,18.416666666666668,23
Romain Grosjean,2.917910447761194,11.850746268656716,12
Rubens Barrichello,2.2419354838709675,10.758064516129032,5
Sakon Yamamoto,0.0,22.833333333333332,17
Sebastian Vettel,12.03112840466926,5.879377431906615,13
Sergey Sirotkin,0.05555555555555555,16.666666666666668,22
Sergio Pérez,6.314741035856573,9.354581673306773,18
Stoffel Vandoorne,0.7647058823529411,15.205882352941176,4
Sébastien Bourdais,0.3,13.95,12
Sébastien Buemi,0.725,14.85,25
Takuma Sato,0.0,21.0,17
Timo Glock,0.7,16.814285714285713,13
Valtteri Bottas,8.127272727272727,7.745454545454545,11
Vitaly Petrov,1.3617021276595744,14.638297872340425,22
Vitantonio Liuzzi,0.7241379310344828,18.379310344827587,16
Will Stevens,0.0,17.6875,6
Yuki Tsunoda,1.1756756756756757,11.932432432432432,17
